id,name
1000000,kruidenierswaren
1010000,houdbare kruidenierswaren
1010500,"koffie, cacao, thee"
1010505,koffie
1010506,koffiepads
1010510,oploskoffie
1010512,new instant oploskoffie
1010515,koffiestroop
1010520,cacao
1010525,anijsblokjes
1010530,thee
1011000,"houdbare koffiemelk, houdbare koffieroom"
1011005,"koffiemelk, koffieroom"
1011010,"koffiecreamer, melkpoeder"
1011500,suiker
1011505,kristalsuiker
1011510,overige suiker
1011515,zoetmiddelen
1011520,"suikerstroop, schenkstroop"
1012000,rijst en deegwaren HB
1012005,rijst HB
1012010,deegwaren
1012500,ontbijtproducten
1012505,geplette graanproducten
1012510,cornflakes
1012515,muesli
1013000,bakproducten en dessertingrediënten
1013005,bloem en toebereide bloem
1013010,"mixen voor taart, gebak, cake, pizzabodem"
1013015,"mix voor pannenkoek, poffertjes, oliebollen"
1013020,broodmixen
1013025,bindmiddelen
1013030,diverse bakbenodigdheden
1013035,"taartbodems, pizzabodems"
1013040,vlaaivullingen
1013045,puddingpoeder
1013050,"puddingsaus, bessensap"
1013055,toppings
1013060,ijspoeder
1013065,"gedroogde vruchten, gedroogde zuidvruchten"
1013500,"soepen, bouillons"
1013506,"soepen droog, portie"
1013511,"soepen droog, niet portie"
1013513,"soepen nat, portie"
1013515,"soepen nat, niet portie"
1013520,bouillons droog
1013522,bouillons nat
1013525,vermicelli
1013530,soepstengels en croutons
1013535,smaakversterkers voor soep
1014000,"sauzen, mixen"
1014005,smaakmakers component droog koud
1014010,smaakmakers component droog warm
1014015,smaakmakers component nat koud
1014020,smaakmakers component  nat warm
1014025,smaakmakers compleet droog warm en koud
1014030,smaakmakers compleet droog warm en koud overig
1014035,slaversierders (droog en nat)
1014040,olien
1014045,azijn
1014050,zuren
1014500,"reformproducten, dieetproducten"
1014505,reformproducten
1014510,dieetproducten
1015000,"babyvoeding, kindervoeding"
1015005,"kinderkoek, kinderbiscuit"
1015010,"formulevoeding, granenvoeding"
1015015,"kindermaaltijden, happen nat"
1015020,"kindersiropen, dranken"
1015500,boterhambeleg
1015505,jam
1015510,boterhamsmeersels
1015520,boterhamstrooisels
1015525,cocosbrood
1016000,"koek, koekjes, banketstuksartikelen"
1016010,"koekjes, wafels en biscuits"
1016015,"banket stuksartikelen, cake"
1016020,seizoensartikelen koek(jes)
1016025,tussendoor koek
1016100,chocolade en chocoladeproducten
1016105,"chocoladeproducten, bonbons, bite sizes"
1016110,chocoladerepen en tabletten
1016115,candybars
1016120,seizoensartikelen chocolade
1016200,snoep en zoetwaren
1016205,"snoep, zacht suikerwerk"
1016210,kauwgom
1016215,"drop, hoestartikelen"
1016220,seizoenartikelen snoep
1016500,"zoutjes, onderleggers, notenbarproducten"
1016505,chips
1016510,zoute biscuits en koekjes
1016515,cocktailsnacks
1016520,"verpakte pinda's, verpakte noten"
1016530,"melba toast, toastjes, crackers, cups"
1017000,bieren
1017005,"alcoholvrij, alcoholarm bier"
1017010,pilseners
1017015,speciaalbieren
1017500,wijnen en aperitieven
1017505,rode wijn
1017510,witte wijn
1017515,rosé wijnen
1017517,mousserende wijn
1017520,sherry's
1017525,overige aperitieven
1017530,overige alcoholhoudende dranken
1017531,mixdranken
1018000,niet alcoholhoudende dranken
1018002,cola
1018003,sinas
1018004,"lemon, lime"
1018005,overige frisdranken
1018010,mineraal- en bronwaters
1018015,(vruchten)limonadesiropen en -poeders
1018020,"vruchtensappen, vruchtendranken, groentesappen"
1018025,"C-siropen, geconcentreerd vruchtensap"
1018030,sport- en energiedranken
1018035,weidranken met vruchten
1020000,kruidenierswaren  (semi-) vers
1022000,rijst en deegwaren semi sers
1022005,rijst semi vers
1022010,deegwaren semi vers
1026500,"zoutjes, onderleggers, notenbarproducten SV"
1026525,notenbarproducten SV
1028000,niet-alcoholhoudende dranken SV
1028020,vruchtensappen en -dranken / groentesappen SV
1100000,zuivel en eieren
1110000,houdbare zuivel en eieren
1110500,houdbare melk
1110505,houdbare melk
1111000,overige houdbare zuivel
1111005,houdbare desserts
1111010,houdbare roomproducten
1111015,houdbare zuiveldrinks
1111020,watergruwel
1111025,soya drinks/desserts
1111030,chocoladedranken
1120000,(semi-) vers zuivel en eieren
1120500,eieren
1120505,eieren
1121000,dagverse melk
1121005,dagverse melk 
1121006,dagverse karnemelk
1121010,dagverse (karne-)melkdranken
1121500,overige dagverse zuivel bulk
1121505,yoghurt naturel (homogeen)
1121510,homogene vla
1121515,kwark naturel
1121520,pappen
1122000,dagverse zuivelspecialiteiten
1122005,yoghurt met toevoegingen
1122010,vla met toevoegingen
1122015,kwark met toevoegingen
1122020,pudding
1122025,luxe toetjes / specialiteiten
1122030,"slagroom, zure room, creme fraiche"
1122035,zuiveldranken
1122500,"geelvetten, witvetten"
1122505,boter
1122510,margarine
1122515,botermelange
1122520,halvarine
1122525,"bakproducten, braadproducten"
1122535,frituurvet
1130000,diepvries zuivel en eieren
1130500,diepvries desserts en sappen
1130505,"diepvries pudding, desserts"
1130510,diepvries geconcentreerde vruchten/groentesappen
1131000,ijs
1131005,schepijs in bakken
1131010,"handijs, portieijs, ijssnacks"
1131020,ijstaarten e.d.
1200000,kaas
1220000,kaas (semi-) vers
1220500,Nederlandse kaas uitsnij
1220505,Nederlandse kaas uitsnij
1221000,Nederlandse kaas verpakt
1221005,Nederlandse kaas verpakt ongesneden
1221020,"Nederlandse kaas, verpakt, gesneden en blokjes"
1221500,buitenlandse specialiteiten uitsnij
1221505,buitenlandse specialiteiten uitsnij
1222000,buitenlandse specialiteiten verpakt
