id,name,parent_id/id
cwa_cbl_cat.1300000,"aardappelen, groenten en fruit",
cwa_cbl_cat.1310000,"aardappelen, groenten en fruit houdbaar",cwa_cbl_cat.1300000
cwa_cbl_cat.1310500,aardappelproducten,cwa_cbl_cat.1310000
cwa_cbl_cat.1310505,aardappelpuree,cwa_cbl_cat.1310500
cwa_cbl_cat.1311000,groenteconserven,cwa_cbl_cat.1310505
cwa_cbl_cat.1311015,appelmoes,cwa_cbl_cat.1311000
cwa_cbl_cat.1311010,blikconserven,cwa_cbl_cat.1311000
cwa_cbl_cat.1311020,gedroogde peulvruchten / groenten,cwa_cbl_cat.1311000
cwa_cbl_cat.1311005,glasconserven,cwa_cbl_cat.1311000
cwa_cbl_cat.1311035,olijven houdbaar,cwa_cbl_cat.1311000
cwa_cbl_cat.1311500,vruchtenconserven,cwa_cbl_cat.1311035
cwa_cbl_cat.1311510,vruchtenconserven in blik,cwa_cbl_cat.1311500
cwa_cbl_cat.1311505,vruchtenconserven in glas,cwa_cbl_cat.1311500
cwa_cbl_cat.1311030,tomaten,cwa_cbl_cat.1311000
cwa_cbl_cat.1311031,tomatenpuree,cwa_cbl_cat.1311000
cwa_cbl_cat.1320000,"aardappelen, groenten en fruit (semi) vers",cwa_cbl_cat.1300000
cwa_cbl_cat.1320500,aardappelen,cwa_cbl_cat.1320000
cwa_cbl_cat.1320510,geschilde aardappel,cwa_cbl_cat.1320500
cwa_cbl_cat.1321000,aardappelproducten,cwa_cbl_cat.1320510
cwa_cbl_cat.1321020,k&k aardappelproducten met toevoegingen,cwa_cbl_cat.1321000
cwa_cbl_cat.1321500,verse groenten,cwa_cbl_cat.1321020
cwa_cbl_cat.1321520,bewerkte groenten,cwa_cbl_cat.1321500
cwa_cbl_cat.1321525,gemengde verse groenten,cwa_cbl_cat.1321500
cwa_cbl_cat.1321505,groenten onbewerkt,cwa_cbl_cat.1321500
cwa_cbl_cat.1321510,"komkommer, uien, knoflook, champignons, paprika's",cwa_cbl_cat.1321500
cwa_cbl_cat.1321535,"olijven, pommodori, pepperoni",cwa_cbl_cat.1321500
cwa_cbl_cat.1322000,vers fruit,cwa_cbl_cat.1321535
cwa_cbl_cat.1322025,bessen,cwa_cbl_cat.1322000
cwa_cbl_cat.1322015,citrusvruchten,cwa_cbl_cat.1322000
cwa_cbl_cat.1322020,exoten,cwa_cbl_cat.1322000
cwa_cbl_cat.1322030,fruitmanden,cwa_cbl_cat.1322000
cwa_cbl_cat.1322005,hard fruit,cwa_cbl_cat.1322000
cwa_cbl_cat.1322040,k&k vers fruit,cwa_cbl_cat.1322000
cwa_cbl_cat.1322035,verse noten,cwa_cbl_cat.1322000
cwa_cbl_cat.1322010,zacht fruit,cwa_cbl_cat.1322000
cwa_cbl_cat.1321530,"tahoe, tempeh, tofu",cwa_cbl_cat.1321500
cwa_cbl_cat.1321515,verse kruiden en kruiden op nat,cwa_cbl_cat.1321500
cwa_cbl_cat.1321010,k&k aardappelproducten naturel,cwa_cbl_cat.1321000
cwa_cbl_cat.1321005,verse frites,cwa_cbl_cat.1321000
cwa_cbl_cat.1320505,onbewerkte aardappelen,cwa_cbl_cat.1320500
cwa_cbl_cat.1330000,"diepvries aardappels, groenten en fruit",cwa_cbl_cat.1300000
cwa_cbl_cat.1330500,diepvries aardappelproducten,cwa_cbl_cat.1330000
cwa_cbl_cat.1330505,frites,cwa_cbl_cat.1330500
cwa_cbl_cat.1330510,overige enkelvoudige aardappelproducten,cwa_cbl_cat.1330500
cwa_cbl_cat.1331000,groenteproducten,cwa_cbl_cat.1330510
cwa_cbl_cat.1331005,enkelvoudige en samengestelde groenten,cwa_cbl_cat.1331000
cwa_cbl_cat.1331020,fruit en vruchtenmelange,cwa_cbl_cat.1331000
cwa_cbl_cat.1331015,kruiden,cwa_cbl_cat.1331000
cwa_cbl_cat.1331010,soepgroenten,cwa_cbl_cat.1331000
cwa_cbl_cat.2600000,bloemen en planten,
cwa_cbl_cat.2620000,bloemen en planten vers,cwa_cbl_cat.2600000
cwa_cbl_cat.2620500,verse bloemen en planten,cwa_cbl_cat.2620000
cwa_cbl_cat.2620510,(kamer)planten,cwa_cbl_cat.2620500
cwa_cbl_cat.2620515,seizoensartikelen,cwa_cbl_cat.2620500
cwa_cbl_cat.2620505,snijbloemen,cwa_cbl_cat.2620500
cwa_cbl_cat.2610000,houdbaar bloemen en planten,cwa_cbl_cat.2600000
cwa_cbl_cat.2610500,bloemen- en plantverzorging,cwa_cbl_cat.2610000
cwa_cbl_cat.2610505,bloemen- en plantvoeding en verzorging,cwa_cbl_cat.2610500
cwa_cbl_cat.2610520,potgrond,cwa_cbl_cat.2610500
cwa_cbl_cat.1700000,brood en gebak,
cwa_cbl_cat.1730000,diepvries brood en gebak,cwa_cbl_cat.1700000
cwa_cbl_cat.1730500,diepvries bakkerijproducten,cwa_cbl_cat.1730000
cwa_cbl_cat.1730505,bladerdeeg,cwa_cbl_cat.1730500
cwa_cbl_cat.1731000,gebak,cwa_cbl_cat.1730505
cwa_cbl_cat.1731005,groot gebak,cwa_cbl_cat.1731000
cwa_cbl_cat.1731010,klein gebak,cwa_cbl_cat.1731000
cwa_cbl_cat.1710000,houdbaar brood en gebak,cwa_cbl_cat.1700000
cwa_cbl_cat.1710500,houdbaar brood,cwa_cbl_cat.1710000
cwa_cbl_cat.1710510,buitenlands/houdbaar  brood,cwa_cbl_cat.1710500
cwa_cbl_cat.1710515,halffabrikaten,cwa_cbl_cat.1710500
cwa_cbl_cat.1711000,broodvervangers,cwa_cbl_cat.1710515
cwa_cbl_cat.1711005,beschuit,cwa_cbl_cat.1711000
cwa_cbl_cat.1711010,gepofte rijstwafels,cwa_cbl_cat.1711000
cwa_cbl_cat.1711020,geroosterd brood / crackers groot,cwa_cbl_cat.1711000
cwa_cbl_cat.1711015,knÃ€ckebrÃ¶d,cwa_cbl_cat.1711000
cwa_cbl_cat.1711025,ontbijtkoek,cwa_cbl_cat.1711000
cwa_cbl_cat.1710505,roggebrood,cwa_cbl_cat.1710500
cwa_cbl_cat.1720000,vers brood en gebak,cwa_cbl_cat.1700000
cwa_cbl_cat.1720500,groot brood,cwa_cbl_cat.1720000
cwa_cbl_cat.1720510,bruin brood,cwa_cbl_cat.1720500
cwa_cbl_cat.1720530,gevuld brood,cwa_cbl_cat.1720500
cwa_cbl_cat.1721000,klein brood,cwa_cbl_cat.1720530
cwa_cbl_cat.1721020,klein brood gevuld,cwa_cbl_cat.1721000
cwa_cbl_cat.1721300,halffabrikaat,cwa_cbl_cat.1721020
cwa_cbl_cat.1721315,halffabrikaat vers gekoeld ,cwa_cbl_cat.1721300
cwa_cbl_cat.1721500,snacks,cwa_cbl_cat.1721315
cwa_cbl_cat.1721515,broodsnacks groot,cwa_cbl_cat.1721500
cwa_cbl_cat.1722000,stokbrood,cwa_cbl_cat.1721515
cwa_cbl_cat.1722010,gekoelde halffabrikaten groot,cwa_cbl_cat.1722000
cwa_cbl_cat.1722500,seizoensbrood,cwa_cbl_cat.1722010
cwa_cbl_cat.1722505,seizoensbrood,cwa_cbl_cat.1722500
cwa_cbl_cat.1723000,groot gebak,cwa_cbl_cat.1722505
cwa_cbl_cat.1723005,taarten en schnittes,cwa_cbl_cat.1723000
cwa_cbl_cat.1723010,vlaaien,cwa_cbl_cat.1723000
cwa_cbl_cat.1723500,klein gebak,cwa_cbl_cat.1723010
cwa_cbl_cat.1723505,klein gebak,cwa_cbl_cat.1723500
cwa_cbl_cat.1724000,banket,cwa_cbl_cat.1723505
cwa_cbl_cat.1724005,banket,cwa_cbl_cat.1724000
cwa_cbl_cat.1722005,stokbrood,cwa_cbl_cat.1722000
cwa_cbl_cat.1721505,hartige snacks,cwa_cbl_cat.1721500
cwa_cbl_cat.1721510,zoete snacks,cwa_cbl_cat.1721500
cwa_cbl_cat.1721015,klein brood volkoren en meergranen,cwa_cbl_cat.1721000
cwa_cbl_cat.1721010,klein bruinbrood,cwa_cbl_cat.1721000
cwa_cbl_cat.1721005,klein witbrood,cwa_cbl_cat.1721000
cwa_cbl_cat.1720520,meergranenbrood,cwa_cbl_cat.1720500
cwa_cbl_cat.1720515,volkorenbrood,cwa_cbl_cat.1720500
cwa_cbl_cat.1720505,wit brood,cwa_cbl_cat.1720500
cwa_cbl_cat.2700000,dierenbenodigdheden,
cwa_cbl_cat.2710000,houdbare dierenbenodigdheden,cwa_cbl_cat.2700000
cwa_cbl_cat.2710500,dierenbenodigdheden,cwa_cbl_cat.2710000
cwa_cbl_cat.2710505,dierenbenodigdheden,cwa_cbl_cat.2710500
cwa_cbl_cat.2710520,"hooi, stro",cwa_cbl_cat.2710500
cwa_cbl_cat.2710510,kattenbakvulling,cwa_cbl_cat.2710500
cwa_cbl_cat.2710515,schelpenzand,cwa_cbl_cat.2710500
cwa_cbl_cat.1900000,dierenvoeding,
cwa_cbl_cat.1930000,diepvries dierenvoer,cwa_cbl_cat.1900000
cwa_cbl_cat.1930500,diepvries dierenvoer,cwa_cbl_cat.1930000
cwa_cbl_cat.1930505,"orgaanvlees, diepvries",cwa_cbl_cat.1930500
cwa_cbl_cat.1910000,houdbare dierenvoeding,cwa_cbl_cat.1900000
cwa_cbl_cat.1910500,hondenvoer,cwa_cbl_cat.1910000
cwa_cbl_cat.1910505,droog hondenvoer,cwa_cbl_cat.1910500
cwa_cbl_cat.1910510,nat hondenvoer,cwa_cbl_cat.1910500
cwa_cbl_cat.1910515,snacks voor honden,cwa_cbl_cat.1910500
