id,factor,name,rounding,uom_type,category_id/id
product.product_cwa_uom_Ml,1000,ml,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_vol
product.product_uom_gram,1000,g,0.01,Smaller than the reference Unit of Measure,product.product_uom_categ_kgm
product.product_uom_unit,1,Unit(s),0.01,Reference Unit of Measure for this category,product.product_uom_categ_unit
product.product_uom_kgm,1,kg,0.01,Reference Unit of Measure for this category,product.product_uom_categ_kgm
product.product_uom_litre,1,liter,0.01,Reference Unit of Measure for this category,product.product_uom_categ_vol
product.product_cwa_uom_g,1000,gram,0.01,Smaller than the reference Unit of Measure,product.product_uom_categ_kgm
product.product_cwa_uom_cl,100,centiliter,0.01,Smaller than the reference Unit of Measure,product.product_uom_categ_vol
product.product_cwa_uom_builtje,1,builtje,0.01,Smaller than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_uom_tablet,1,tablet,0.01,Smaller than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_1,1,1,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_20,20,20,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_300ml,0.3,300ml,0.01,Smaller than the reference Unit of Measure,product.product_uom_categ_vol
product.product_cwa_6-pack,6,6-pack,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_agf los,1,agf los,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_agf verpakt,1,agf verpakt,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_al ba,1,al ba,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_Al pa,1,Al.pa,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_back,1,back,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_bag,1,bag,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_bags,1,bags,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_bak,1,bak,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_bar,1,bar,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_beker,1,beker,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_blik,1,blik,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_boekje,1,boekje,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_bos,1,bos,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_bottl,1,bottl,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_box,1,box,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_brood,1,brood,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_brush,1,brush,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_bus,1,bus,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_Can,1,Can,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_cello,1,cello,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_crt,1,crt,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_disp,1,disp,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_displ,1,displ,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_doos,1,doos,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_Doosje,1,Doosje,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_emmer,1,emmer,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_fles,1,fles,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_flesje,1,flesje,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_folie,1,folie,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_geen verpakking,1,geen verpakking,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_glas,1,glas,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_hele kaas,1,hele kaas,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_jug,1,jug,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_Kistje,1,Kistje,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_kuipje,1,kuipje,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_Los,1,Los,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_Net,1,Net,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_pack,1,pack,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_pak,1,pak,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_papier,1,papier,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_pc,1,pc,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_pcs,1,pcs,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_pcspa,1,pcspa,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_pompflacon,1,pompflacon,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_pot,1,pot,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_potje,1,potje,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_reep,1,reep,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_rol,1,rol,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_roller,1,roller,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_schaaltje,1,schaaltje,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_Set,1,Set,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_Sets,1,Sets,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_slang,1,slang,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_SqCup,1,SqCup,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_stick,1,stick,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_stuk,1,stuk,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_stuks,1,stuks,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_tablet,1,tablet,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_Tas,1,Tas,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_tetra,1,tetra,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_tray,1,tray,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
product.product_cwa_tube,1,tube,0.01,Bigger than the reference Unit of Measure,product.product_uom_categ_unit
